"Player","Team","Year","Gun/Pistol Att%","G/P Success%","Under Center Att%","U/C Succes%","Man/Gap Att%","M/G Success%","Outside M/G%","Out M/G Success%","Inside M/G%","In M/G Success%","Zone Att%","Zone Success%","Outside Zone%","Out Zone Success%","Inside Zone%","In Zone Success%","Outside Att%","Out Success%","Inside Att%","In Success%","Loaded Box%","Loaded Success%","Unblocked Def%","UB Success%","Broken Tkl%","Explosive Plays%","Run Stuff%","Pass Block Success%"
"Bijan Robinson","ATL","2024","68.97%","67.50%","30.17%","68.57%","22.41%","76.92%","2.59%","100.00%","19.83%","73.91%","77.59%","64.44%","56.90%","66.67%","20.69%","58.33%","59.48%","68.12%","40.52%","65.96%","23.28%","66.67%","16.38%","52.63%","29.31%","19.85%","19.83%","91.67%"
"Bucky Irving","TB","2024","25.27%","60.87%","74.73%","60.29%","46.15%","66.67%","23.08%","76.19%","23.08%","57.14%","53.85%","55.10%","24.18%","54.55%","29.67%","55.56%","47.25%","65.12%","52.75%","56.25%","7.69%","57.14%","15.38%","64.29%","26.39%","18.35%","20.88%","90.00%"
"Breece Hall","NYJ","2024","54.12%","58.70%","44.71%","68.42%","32.94%","60.71%","7.06%","50.00%","25.88%","63.64%","67.06%","63.16%","52.94%","68.89%","14.12%","41.67%","60.00%","66.67%","40.00%","55.88%","15.29%","46.15%","22.35%","42.11%","18.94%","15.32%","25.88%","85.00%"
"Chase Brown","CIN","2024","58.51%","60.00%","40.43%","55.26%","46.81%","54.55%","13.83%","69.23%","32.98%","48.39%","53.19%","60.00%","30.85%","44.83%","22.34%","80.95%","44.68%","52.38%","55.32%","61.54%","13.83%","61.54%","14.89%","42.86%","18.60%","10.62%","23.40%","77.78%"
"Derrick Henry","BAL","2024","54.44%","75.51%","45.56%","53.66%","45.56%","73.17%","20.00%","77.78%","25.56%","69.57%","54.44%","59.18%","25.56%","65.22%","28.89%","53.85%","45.56%","70.73%","54.44%","61.22%","36.67%","48.48%","25.56%","56.52%","26.05%","15.79%","23.33%","76.92%"
"Zach Charbonnet","SEA","2024","56.10%","58.70%","43.90%","44.44%","52.44%","48.84%","20.73%","58.82%","31.71%","42.31%","47.56%","56.41%","19.51%","56.25%","28.05%","56.52%","40.24%","57.58%","59.76%","48.98%","12.20%","50.00%","21.95%","22.22%","22.13%","10.89%","30.49%","75.00%"
"Jahmyr Gibbs","DET","2024","33.33%","75.00%","66.67%","60.71%","44.05%","75.68%","17.86%","66.67%","26.19%","81.82%","55.95%","57.45%","35.71%","63.33%","20.24%","47.06%","53.57%","64.44%","46.43%","66.67%","30.95%","65.38%","27.38%","30.43%","28.47%","23.36%","25.00%","73.33%"
"Braelon Allen","NYJ","2024","46.15%","66.67%","53.85%","50.00%","42.31%","54.55%","1.92%","0.00%","40.38%","57.14%","57.69%","60.00%","42.31%","68.18%","15.38%","37.50%","44.23%","65.22%","55.77%","51.72%","7.69%","50.00%","23.08%","50.00%","13.04%","14.52%","25.00%","70.00%"
"Kenneth Walker","SEA","2024","48.00%","58.33%","49.33%","59.46%","41.33%","58.06%","14.67%","63.64%","25.33%","57.89%","58.67%","56.82%","36.00%","59.26%","22.67%","52.94%","50.67%","60.53%","48.00%","55.56%","20.00%","46.67%","16.00%","33.33%","23.48%","14.43%","21.33%","70.00%"
"Tyrone Tracy","NYG","2024","60.56%","53.49%","39.44%","64.29%","35.21%","52.00%","7.04%","40.00%","28.17%","55.00%","64.79%","60.87%","25.35%","44.44%","39.44%","71.43%","32.39%","43.48%","67.61%","64.58%","15.49%","36.36%","12.68%","11.11%","19.00%","20.45%","23.94%","68.18%"
"Travis Etienne","JAX","2024","47.92%","60.87%","52.08%","52.00%","45.83%","54.55%","20.83%","50.00%","25.00%","58.33%","54.17%","57.69%","31.25%","73.33%","22.92%","36.36%","52.08%","64.00%","47.92%","47.83%","37.50%","55.56%","27.08%","46.15%","17.50%","16.67%","27.08%","64.29%"
"Saquon Barkley","PHI","2024","77.08%","59.46%","22.92%","69.70%","42.36%","65.57%","16.67%","79.17%","25.69%","56.76%","57.64%","59.04%","19.44%","64.29%","38.19%","56.36%","36.11%","71.15%","63.89%","56.52%","18.06%","57.69%","18.75%","40.74%","26.60%","15.53%","26.39%","61.90%"
"Rhamondre Stevenson","NE","2024","37.50%","61.11%","62.50%","55.00%","56.25%","62.96%","31.25%","60.00%","25.00%","66.67%","43.75%","50.00%","22.92%","45.45%","20.83%","55.00%","54.17%","53.85%","45.83%","61.36%","13.54%","69.23%","26.04%","48.00%","24.29%","12.50%","22.92%","58.33%"
"James Cook","BUF","2024","41.41%","70.73%","58.59%","58.62%","54.55%","64.81%","27.27%","70.37%","27.27%","59.26%","45.45%","62.22%","25.25%","60.00%","20.20%","65.00%","52.53%","65.38%","47.47%","61.70%","48.48%","54.17%","17.17%","29.41%","16.94%","17.43%","25.25%","50.00%"
"Tank Bigsby","JAX","2024","49.43%","55.81%","49.43%","46.51%","57.47%","52.00%","10.34%","88.89%","47.13%","43.90%","42.53%","48.65%","14.94%","30.77%","27.59%","58.33%","25.29%","54.55%","74.71%","49.23%","25.29%","36.36%","10.34%","0.00%","18.87%","13.19%","34.48%","30.00%"