"Year","Player","Snaps","Outside","LWR","RWR","Slot","Backfield","Behind LOS","On LOS"
"2024","Andrew Armstrong","459","93.9","48.4","45.5","6.1","0.0","24.0","76.0"
"2024","Elic Ayomanor","515","88.3","45.2","43.1","11.1","0.6","33.0","67.0"
"2024","Emeka Egbuka","416","21.4","8.4","13.0","73.6","5.0","81.0","19.0"
"2024","Isaac TeSlaa","271","28.0","15.9","12.2","70.1","1.8","69.4","30.6"
"2024","Isaiah Bond","323","78.9","46.7","32.2","18.3","2.8","36.5","63.5"
"2024","Jack Bech","493","73.6","1.2","72.4","24.9","1.4","26.8","73.2"
"2024","Jalen Royals*","436","84.9","84.6","0.2","14.9","0.2","12.2","87.8"
"2024","Jayden Higgins","416","68.8","34.9","33.9","31.0","0.2","24.3","75.7"
"2024","Jaylin Noel","461","36.4","16.3","20.2","58.8","4.8","72.5","27.5"
"2024","Kyle Williams","511","76.9","65.4","11.5","20.9","2.2","28.4","65.8"
"2024","Luther Burden","415","10.8","6.3","4.6","82.9","6.3","81.7","18.3"
"2024","Matthew Golden","417","76.7","16.1","60.7","20.4","2.9","30.7","69.3"
"2024","Tai Felton","509","73.1","34.6","38.5","25.0","2.0","48.3","51.7"
"2024","Tetairoa McMillan","484","81.8","41.7","40.1","17.8","0.4","20.2","79.8"
"2024","Tez Johnson*","280","12.5","7.1","5.4","78.9","8.6","92.5","7.5"
"2024","Tory Horton","434","78.3","0.9","77.4","20.7","0.9","44.5","55.5"
"2024","Travis Hunter","477","94.1","42.6","51.6","4.6","1.3","9.9","90.1"
"2024","Tre Harris","505","78.8","36.0","42.8","18.0","3.2","45.1","54.9"
"2024","Xavier Restrepo","498","10.4","4.8","5.6","88.4","1.2","72.9","27.1"