"Player","Man Tar","Man SR","Zone Tar","Zone SR","SHORT Tar","SHORT SR","INTER Tar","INTER SR","DEEP Tar","DEEP SR"
"Matthew Stafford","42.2%","73.0%","57.8%","77.1%","66.4%","80.7%","23.2%","63.3%","10.4%","68.2%"
"Sam Darnold","37.1%","70.5%","62.9%","78.9%","63.3%","86.4%","24.2%","59.7%","12.5%","50.0%"
"Geno Smith","24.4%","74.5%","75.6%","87.3%","69.4%","88.3%","18.7%","79.5%","11.5%","66.7%"
"Josh Allen","45.8%","82.6%","54.2%","81.7%","61.7%","91.1%","20.9%","73.8%","17.4%","60.0%"
"Jalen Hurts","38.5%","78.3%","61.5%","88.5%","71.8%","90.2%","18.0%","78.6%","10.3%","56.3%"
"Patrick Mahomes","38.8%","74.8%","61.2%","82.7%","69.0%","85.2%","20.8%","67.9%","9.8%","64.0%"
"Lamar Jackson","42.3%","79.2%","57.7%","84.8%","57.7%","87.6%","27.5%","80.0%","14.8%","66.7%"
"Michael Penix","51.7%","70.0%","48.3%","82.1%","56.0%","84.6%","30.2%","68.6%","13.8%","56.3%"
"Aaron Rodgers","44.1%","75.5%","55.9%","79.0%","68.9%","86.9%","19.8%","59.1%","11.3%","52.0%"
"Anthony Richardson","31.8%","45.2%","68.2%","63.2%","45.6%","77.5%","33.9%","43.9%","20.5%","35.0%"
"Bryce Young","48.5%","61.6%","51.5%","80.0%","60.3%","81.3%","24.0%","61.2%","15.7%","46.9%"
"Caleb Williams","35.4%","62.9%","64.7%","79.7%","71.7%","85.2%","16.7%","51.5%","12.1%","33.3%"
"Daniel Jones","55.9%","73.4%","44.1%","73.3%","71.2%","78.5%","20.1%","63.0%","8.7%","55.0%"
"Justin Fields","33.6%","70.0%","65.8%","77.6%","70.5%","82.9%","16.1%","62.5%","13.4%","50.0%"
"Drake Maye","38.5%","71.3%","61.5%","85.9%","71.6%","86.6%","18.3%","63.2%","10.1%","66.7%"
"Jayden Daniels","37.8%","68.4%","62.2%","85.6%","70.2%","85.8%","17.9%","75.0%","11.9%","45.8%"
"Bo Nix","30.5%","55.9%","69.1%","77.9%","69.1%","80.5%","16.6%","48.7%","13.9%","51.5%"
"Trevor Lawrence","41.2%","73.0%","58.3%","83.3%","58.8%","86.6%","25.0%","72.2%","16.2%","62.9%"
"CJ Stroud","36.0%","66.2%","63.1%","80.0%","62.6%","81.3%","22.4%","70.8%","15.0%","53.1%"