"Player","L. <LOS-9 %","L <LOS-9SR","MID <LOS-9 %","M <LOS-9SR","R. <LOS-9 %","R <LOS-9SR","L. 10-19 %","L 10-19 SR","MID 10-19 %","M 10-19 SR","R. 10-19 %","R 10-19 SR","L. 20+ %","L 20+ SR","M 20+ SR","MID 20+ %","R. 20+ %","R 20+ SR"
"Matthew Stafford","11.9%","84.0%","39.84%","76.5%","14.2%","90.0%","2.8%","50.0%","12.8%","66.7%","7.6%","62.5%","3.8%","75.0%","2.4%","80.0%","4.3%","55.6%"
"Sam Darnold","12.5%","84.4%","40.12%","89.2%","10.6%","77.8%","2.7%","42.9%","14.8%","60.5%","6.6%","64.7%","2.7%","42.9%","7.4%","52.6%","2.3%","50.0%"
"Geno Smith","11.5%","87.5%","45.93%","88.5%","12.0%","88.0%","2.9%","66.7%","12.0%","92.0%","3.8%","50.0%","4.3%","55.6%","3.4%","71.4%","3.8%","75.0%"
"Josh Allen","7.5%","80.0%","46.27%","91.4%","8.0%","100.0%","3.5%","71.4%","14.4%","75.9%","3.0%","66.7%","5.0%","60.0%","6.0%","58.3%","6.0%","66.7%"
"Jalen Hurts","18.0%","89.3%","39.10%","91.8%","14.7%","87.0%","6.4%","70.0%","7.1%","81.8%","4.5%","85.7%","3.9%","50.0%","1.9%","66.7%","3.9%","50.0%"
"Patrick Mahomes","13.7%","85.7%","44.31%","85.8%","11.0%","78.6%","3.1%","87.5%","12.6%","75.0%","5.1%","38.5%","2.8%","85.7%","3.1%","62.5%","3.9%","50.0%"
"Lamar Jackson","9.3%","82.4%","39.56%","93.1%","8.2%","73.3%","5.5%","60.0%","15.9%","86.2%","6.0%","81.8%","5.0%","55.6%","5.5%","90.0%","4.4%","50.0%"
"Michael Penix","9.5%","63.6%","30.17%","91.4%","16.4%","84.2%","9.5%","72.7%","12.1%","78.6%","8.6%","50.0%","8.6%","50.0%","0.9%","0.0%","4.3%","80.0%"
"Aaron Rodgers","14.9%","87.9%","39.64%","85.2%","14.0%","93.6%","5.9%","53.9%","9.0%","60.0%","5.0%","63.6%","1.8%","75.0%","4.5%","60.0%","5.0%","36.4%"
"Anthony Richardson","10.3%","70.0%","26.15%","80.4%","9.2%","77.8%","9.2%","38.9%","19.5%","47.4%","5.1%","40.0%","8.2%","43.8%","5.1%","40.0%","7.2%","21.4%"
"Bryce Young","14.2%","62.1%","30.88%","88.9%","15.2%","83.9%","4.4%","44.4%","13.2%","66.7%","6.4%","61.5%","6.4%","38.5%","4.4%","44.4%","4.9%","60.0%"
"Caleb Williams","17.7%","85.7%","37.88%","88.0%","16.2%","78.1%","2.0%","50.0%","11.1%","54.6%","3.5%","42.9%","3.5%","28.6%","3.0%","16.7%","5.6%","45.5%"
"Daniel Jones","13.1%","76.7%","45.41%","82.7%","12.7%","65.5%","5.2%","66.7%","11.4%","57.7%","3.5%","75.0%","4.4%","60.0%","1.8%","25.0%","2.6%","66.7%"
"Justin Fields","22.2%","72.7%","30.20%","86.7%","18.1%","88.9%","6.7%","60.0%","7.4%","72.7%","2.0%","33.3%","6.7%","60.0%","2.7%","50.0%","4.0%","33.3%"
"Drake Maye","11.5%","91.7%","42.79%","84.3%","17.3%","88.9%","2.4%","40.0%","10.6%","72.7%","5.3%","54.6%","1.0%","50.0%","4.8%","60.0%","4.3%","77.8%"
"Jayden Daniels","6.5%","100.0%","44.78%","85.6%","18.9%","81.6%","2.5%","100.0%","10.5%","66.7%","5.0%","80.0%","5.0%","50.0%","3.5%","28.6%","3.5%","57.1%"
"Bo Nix","11.7%","76.9%","45.74%","82.4%","11.7%","76.9%","3.6%","50.0%","9.9%","45.5%","3.1%","57.1%","6.3%","50.0%","4.5%","50.0%","3.1%","57.1%"
"Trevor Lawrence","12.0%","69.2%","37.50%","92.6%","9.3%","85.0%","6.5%","57.1%","12.0%","80.8%","6.5%","71.4%","4.6%","70.0%","6.0%","61.5%","5.6%","58.3%"
"CJ Stroud","8.9%","84.2%","37.85%","82.7%","15.9%","76.5%","1.9%","75.0%","13.6%","72.4%","7.0%","66.7%","3.3%","57.1%","6.5%","57.1%","5.1%","45.5%"