"Year","Player","Opportunities","% of Routes","1st Contact Drop","1 Broken Tackle","2+ Broken Tackle"
"2024","Jack Bech","20","7.5","15.0","50.0","35.0"
"2024","Isaiah Bond","14","8.1","35.7","42.9","21.4"
"2024","Travis Hunter","41","14.5","36.6","46.3","17.1"
"2024","Luther Burden","40","16.8","37.5","37.5","25.0"
"2024","Andrew Armstrong","30","11.7","43.3","40.0","16.7"
"2024","Kyle Williams","36","12.1","44.4","33.3","22.2"
"2024","Elic Ayomanor","25","8.2","48.0","36.0","16.0"
"2024","Jalen Royals*","29","11.7","48.3","34.5","17.2"
"2024","Tetairoa McMillan","36","12.7","50.0","33.3","16.7"
"2024","Tai Felton","46","15.8","50.0","37.0","13.0"
"2024","Isaac TeSlaa","8","5.0","50.0","50.0","0.0"
"2024","Tory Horton","38","16.8","52.6","39.5","7.9"
"2024","Matthew Golden","18","8.5","55.6","38.9","5.6"
"2024","Jayden Higgins","25","9.3","60.0","28.0","12.0"
"2024","Xavier Restrepo","27","9.2","63.0","33.3","3.7"
"2024","Tre Harris","33","13.1","69.7","24.2","6.1"
"2024","Emeka Egbuka","30","14.3","70.0","23.3","6.7"
"2024","Tez Johnson*","30","18.9","73.3","16.7","10.0"
"2024","Jaylin Noel","18","6.0","77.8","22.2","0.0"