player,team,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,fumbles_lost,site_pts,src_id,data_src,pos,id,season,week,data_src_lower
Jalen Hurts,PHI,27.6,19.0,218.4,1.6,0.5,8.9,40.9,0.8,0.3,23.1,19275,FantasyPros,QB,14783,2024,1,fantasypros
Lamar Jackson,BAL,29.2,20.0,235.9,1.8,0.4,7.9,51.3,0.2,0.3,22.4,17233,FantasyPros,QB,13593,2024,1,fantasypros
Josh Allen,BUF,32.5,20.7,240.7,1.6,0.5,7.3,33.8,0.5,0.2,21.6,17298,FantasyPros,QB,13589,2024,1,fantasypros
Baker Mayfield,TB,33.4,23.6,254.2,2.0,0.9,4.1,18.2,0.1,0.2,19.5,17237,FantasyPros,QB,13590,2024,1,fantasypros
Patrick Mahomes II,KC,35.7,24.2,254.0,1.7,0.6,4.5,22.6,0.1,0.1,19.4,16413,FantasyPros,QB,13116,2024,1,fantasypros
Bo Nix,DEN,33.5,22.3,227.8,1.7,0.5,5.5,26.4,0.2,0.1,19.1,22910,FantasyPros,QB,16582,2024,1,fantasypros
Kyler Murray,ARI,32.4,21.5,234.4,1.4,0.8,5.5,35.7,0.3,0.2,18.9,18600,FantasyPros,QB,14056,2024,1,fantasypros
Trevor Lawrence,JAC,30.8,20.0,237.0,1.5,0.8,3.5,17.5,0.2,0.2,17.5,19780,FantasyPros,QB,15237,2024,1,fantasypros
Drake Maye,NE,31.0,20.6,215.8,1.5,0.8,4.4,30.2,0.2,0.3,17.2,23046,FantasyPros,QB,16580,2024,1,fantasypros
Dak Prescott,DAL,36.7,23.6,251.0,1.6,0.9,2.5,10.2,0.1,0.2,16.7,15600,FantasyPros,QB,12620,2024,1,fantasypros
Jordan Love,GB,31.3,19.8,235.5,1.6,0.8,2.5,10.7,0.1,0.1,16.5,19246,FantasyPros,QB,14782,2024,1,fantasypros
Justin Fields,NYJ,28.9,17.8,194.8,1.0,0.8,7.4,39.9,0.4,0.3,16.5,19781,FantasyPros,QB,15238,2024,1,fantasypros
Justin Herbert,LAC,31.8,20.7,231.8,1.4,0.4,3.9,16.8,0.1,0.2,16.5,18635,FantasyPros,QB,14779,2024,1,fantasypros
Tua Tagovailoa,MIA,34.5,24.3,255.8,1.6,0.8,1.8,5.8,0.0,0.2,16.1,19198,FantasyPros,QB,14778,2024,1,fantasypros
Jared Goff,DET,32.9,22.6,253.4,1.6,0.8,1.7,4.0,0.0,0.2,16.0,15501,FantasyPros,QB,12611,2024,1,fantasypros
C.J. Stroud,HOU,34.0,21.7,250.1,1.3,0.7,3.2,14.3,0.1,0.2,16.0,23071,FantasyPros,QB,16150,2024,1,fantasypros
Caleb Williams,CHI,31.8,20.5,217.8,1.3,0.7,5.0,25.9,0.1,0.3,15.8,23084,FantasyPros,QB,16579,2024,1,fantasypros
Geno Smith,LV,34.0,22.8,247.0,1.3,0.8,3.0,12.7,0.1,0.1,15.8,11687,FantasyPros,QB,11150,2024,1,fantasypros
Daniel Jones,IND,30.1,18.7,204.0,1.2,0.7,5.8,27.2,0.2,0.3,15.8,18232,FantasyPros,QB,14059,2024,1,fantasypros
Bryce Young,CAR,31.5,20.2,216.8,1.3,0.7,3.4,18.4,0.2,0.2,15.6,22900,FantasyPros,QB,16148,2024,1,fantasypros
Michael Penix Jr.,ATL,32.1,20.8,234.7,1.3,0.8,3.2,11.1,0.2,0.2,15.5,22973,FantasyPros,QB,16583,2024,1,fantasypros
Matthew Stafford,LAR,32.4,20.5,238.5,1.5,0.6,1.8,4.2,0.0,0.1,15.4,9451,FantasyPros,QB,9431,2024,1,fantasypros
Russell Wilson,NYG,31.9,20.3,226.1,1.3,0.7,3.6,14.9,0.1,0.2,15.4,11180,FantasyPros,QB,10703,2024,1,fantasypros
Sam Darnold,SEA,32.6,21.2,229.5,1.3,1.0,3.6,12.5,0.1,0.2,14.9,17236,FantasyPros,QB,13592,2024,1,fantasypros
Joe Flacco,CIN,35.0,22.4,250.0,1.5,1.0,1.3,4.1,0.0,0.3,14.8,9300,FantasyPros,QB,9064,2024,1,fantasypros
Cam Ward,TEN,31.0,19.7,211.9,1.1,0.8,4.1,17.1,0.1,0.2,14.1,24755,FantasyPros,QB,17030,2024,1,fantasypros
Aaron Rodgers,PIT,33.0,21.0,222.8,1.4,0.6,1.6,5.8,0.0,0.2,14.1,9001,FantasyPros,QB,7836,2024,1,fantasypros
Spencer Rattler,NO,31.5,19.3,209.9,1.1,0.8,3.7,19.4,0.1,0.3,13.6,23081,FantasyPros,QB,16586,2024,1,fantasypros
Jalen Milroe,SEA,0.7,0.5,4.5,0.1,0.0,1.8,8.7,0.1,0.0,1.9,22884,FantasyPros,QB,17033,2024,1,fantasypros
Mason Rudolph,PIT,0.7,0.5,5.1,0.0,0.0,1.4,6.3,0.1,0.0,1.3,17234,FantasyPros,QB,13595,2024,1,fantasypros
Jaxson Dart,NYG,0.9,0.5,5.1,0.0,0.0,0.1,1.7,0.0,0.0,0.6,23160,FantasyPros,QB,17032,2024,1,fantasypros
Cooper Rush,BAL,0.7,0.5,6.2,0.1,0.0,0.2,1.0,0.0,0.0,0.6,16477,FantasyPros,QB,13124,2024,1,fantasypros
Jake Browning,CIN,0.9,0.6,7.2,0.1,0.0,0.1,0.5,0.0,0.0,0.6,18557,FantasyPros,QB,14358,2024,1,fantasypros
Marcus Mariota,WAS,0.8,0.6,5.9,0.1,0.0,0.2,0.9,0.0,0.0,0.6,13890,FantasyPros,QB,12141,2024,1,fantasypros
Nick Mullens,JAC,0.8,0.6,6.4,0.1,0.0,0.2,0.6,0.0,0.0,0.6,16726,FantasyPros,QB,13968,2024,1,fantasypros
Zach Wilson,MIA,0.9,0.7,6.5,0.1,0.0,0.2,0.8,0.0,0.0,0.6,22679,FantasyPros,QB,15239,2024,1,fantasypros
Gardner Minshew II,KC,0.9,0.6,6.3,0.1,0.0,0.2,0.6,0.0,0.0,0.5,18562,FantasyPros,QB,14067,2024,1,fantasypros
Jacoby Brissett,ARI,0.8,0.6,6.0,0.1,0.0,0.2,0.8,0.0,0.0,0.5,15642,FantasyPros,QB,12616,2024,1,fantasypros
Carson Wentz,MIN,0.9,0.6,6.7,0.1,0.1,0.2,0.7,0.0,0.0,0.5,15520,FantasyPros,QB,12610,2024,1,fantasypros
Joshua Dobbs,NE,0.8,0.6,5.3,0.1,0.0,0.2,0.8,0.0,0.0,0.5,16417,FantasyPros,QB,13119,2024,1,fantasypros
Jarrett Stidham,DEN,0.9,0.5,5.6,0.1,0.0,0.2,0.6,0.0,0.0,0.5,18604,FantasyPros,QB,14063,2024,1,fantasypros
Mac Jones,SF,0.8,0.5,5.9,0.1,0.0,0.2,0.6,0.0,0.0,0.5,20156,FantasyPros,QB,15241,2024,1,fantasypros
Sam Howell,PHI,0.6,0.4,5.1,0.1,0.0,0.2,0.9,0.0,0.0,0.5,23045,FantasyPros,QB,15693,2024,1,fantasypros
Malik Willis,GB,0.8,0.4,5.5,0.1,0.0,0.2,0.8,0.0,0.0,0.5,23499,FantasyPros,QB,15694,2024,1,fantasypros
Jimmy Garoppolo,LAR,0.8,0.5,6.3,0.1,0.0,0.1,0.2,0.0,0.0,0.5,12208,FantasyPros,QB,11760,2024,1,fantasypros
Joe Milton III,DAL,0.9,0.6,6.0,0.1,0.0,0.1,0.5,0.0,0.0,0.5,25967,FantasyPros,QB,16585,2024,1,fantasypros
Andy Dalton,CAR,0.8,0.6,5.8,0.1,0.0,0.1,0.5,0.0,0.0,0.5,9907,FantasyPros,QB,10313,2024,1,fantasypros
Davis Mills,HOU,0.8,0.5,5.5,0.1,0.0,0.2,0.6,0.0,0.0,0.5,22799,FantasyPros,QB,15252,2024,1,fantasypros
Mitchell Trubisky,BUF,0.8,0.5,5.5,0.1,0.0,0.2,0.6,0.0,0.0,0.5,16381,FantasyPros,QB,13115,2024,1,fantasypros
Kenny Pickett,LV,0.9,0.6,5.7,0.1,0.0,0.1,0.5,0.0,0.0,0.5,22722,FantasyPros,QB,15692,2024,1,fantasypros
Kirk Cousins,ATL,0.8,0.6,6.2,0.1,0.0,0.2,0.3,0.0,0.0,0.5,11177,FantasyPros,QB,10700,2024,1,fantasypros
Tyrod Taylor,NYJ,0.8,0.5,5.0,0.1,0.0,0.1,0.5,0.0,0.0,0.5,10007,FantasyPros,QB,10413,2024,1,fantasypros
Tyson Bagent,CHI,0.8,0.5,4.8,0.1,0.0,0.1,0.5,0.0,0.0,0.5,25321,FantasyPros,QB,16384,2024,1,fantasypros
Teddy Bridgewater,TB,0.6,0.5,4.7,0.1,0.0,0.1,0.3,0.0,0.0,0.5,12088,FantasyPros,QB,11640,2024,1,fantasypros
Tyler Shough,NO,0.8,0.5,4.9,0.1,0.0,0.1,0.5,0.0,0.0,0.4,23096,FantasyPros,QB,17039,2024,1,fantasypros
Brandon Allen,TEN,0.7,0.5,4.8,0.1,0.0,0.1,0.3,0.0,0.0,0.4,15745,FantasyPros,QB,12621,2024,1,fantasypros
Drew Lock,SEA,0.7,0.5,4.6,0.1,0.1,0.1,0.5,0.0,0.0,0.4,18225,FantasyPros,QB,14057,2024,1,fantasypros
Dillon Gabriel,CLE,0.6,0.4,3.7,0.1,0.0,0.1,0.3,0.0,0.0,0.4,23150,FantasyPros,QB,17037,2024,1,fantasypros
Trey Lance,LAC,0.8,0.5,5.0,0.0,0.0,0.2,0.6,0.0,0.0,0.3,20082,FantasyPros,QB,15240,2024,1,fantasypros
Kyle Allen,DET,0.5,0.4,4.8,0.0,0.0,0.1,0.1,0.0,0.0,0.2,17869,FantasyPros,QB,13879,2024,1,fantasypros
